iter	Logloss
0	0.6834490983
1	0.6756756487
2	0.6670655179
3	0.658575526
4	0.6511481011
5	0.6433305699
6	0.6365625756
7	0.6308563913
8	0.6241039538
9	0.6184086661
10	0.6133176865
11	0.6089018277
12	0.6022854411
13	0.5952952411
14	0.5904001943
15	0.5863527223
16	0.5797771362
17	0.5750366308
18	0.5711415215
19	0.5669513845
20	0.5626438791
21	0.5592902637
22	0.55442395
23	0.5512655083
24	0.5481402269
25	0.5438963721
26	0.5385196515
27	0.534615173
28	0.5308663225
29	0.5283908412
30	0.5238899754
31	0.5196775381
32	0.5187953925
33	0.5158035536
34	0.5124638795
35	0.5100197047
36	0.5076453723
37	0.5047747584
38	0.5022690761
39	0.4981650373
40	0.4955742881
41	0.4924771232
42	0.4887675018
43	0.4871591229
44	0.4844667155
45	0.4811923908
46	0.4778655908
47	0.4747990371
48	0.4714222591
49	0.4692819851
50	0.4669997684
51	0.4644299218
52	0.4618186024
53	0.459576872
54	0.4577480733
55	0.4557286121
56	0.4531745537
57	0.4507372717
58	0.4482266154
59	0.4459429165
60	0.4427894995
61	0.4397534927
62	0.437415564
63	0.4342520266
64	0.4320471764
65	0.4306156215
66	0.4288558321
67	0.4269775861
68	0.4245169713
69	0.4233092319
70	0.4204223178
71	0.4177569199
72	0.4159382387
73	0.4132248235
74	0.4112776377
75	0.4098113755
76	0.4075968531
77	0.405707014
78	0.4040256061
79	0.4021537007
80	0.3997999729
81	0.3974325457
82	0.3953797549
83	0.3927487942
84	0.3910036511
85	0.3893499984
86	0.3873411154
87	0.3844732289
88	0.3832838443
89	0.3809038367
90	0.3791210398
91	0.3773372805
92	0.375243844
93	0.3734861978
94	0.3717559987
95	0.3697126524
96	0.3679502902
97	0.3661463823
98	0.3642905602
99	0.3620768848
100	0.3604216802
101	0.3591915198
102	0.3572576661
103	0.3552882615
104	0.3540464242
105	0.3528794606
106	0.3511341943
107	0.349543221
108	0.3478583038
109	0.3463257814
110	0.3445055767
111	0.3422986673
112	0.340654906
113	0.3386446619
114	0.3373780027
115	0.3359258836
116	0.3342406718
117	0.3323777726
118	0.3303838931
119	0.3285965175
120	0.3274337143
121	0.3258868893
122	0.324191156
123	0.3231881244
124	0.3220312355
125	0.3200549633
126	0.3164270738
127	0.3151483663
128	0.313913653
129	0.3122439401
130	0.3103639371
131	0.3084230157
132	0.3072477231
133	0.3063550985
134	0.3052513064
135	0.3038750022
136	0.3025510721
137	0.3007821182
138	0.2984191083
139	0.2967608686
140	0.2952571773
141	0.2936979316
142	0.2922031239
143	0.2905588816
144	0.2896758349
145	0.2884453003
146	0.286932673
147	0.2849296376
148	0.2835479488
149	0.2819717903
150	0.2809493203
151	0.2791163994
152	0.2772683366
153	0.2760258722
154	0.2738950401
155	0.273056192
156	0.2721055624
157	0.270836867
158	0.2688215596
159	0.267040292
160	0.2655029763
161	0.2635891071
162	0.2620443071
163	0.2607234161
164	0.2592815216
165	0.25743388
166	0.2561222816
167	0.2548988598
168	0.2533581263
169	0.2516604892
170	0.2504902365
171	0.2487569877
172	0.2473724853
173	0.2462738945
174	0.2448306919
175	0.2432456712
176	0.2421975357
177	0.2408029511
178	0.2386700226
179	0.237672264
180	0.2367746698
181	0.2349675111
182	0.2339495644
183	0.2320151421
184	0.230740556
185	0.2298831152
186	0.2286354556
187	0.2274769409
188	0.226241929
189	0.2254106021
190	0.2240055257
191	0.2231466727
192	0.2212004781
193	0.2199653069
194	0.2186647708
195	0.2176300675
196	0.2160609129
197	0.215206792
198	0.2143098138
199	0.213072311
200	0.2114179554
201	0.2101780123
202	0.2087277952
203	0.2075656177
204	0.2067930841
205	0.2057139265
206	0.2048280735
207	0.2040040113
208	0.2028492748
209	0.202026804
210	0.2010258044
211	0.2001556004
212	0.1987251083
213	0.1976458847
214	0.1966014613
215	0.1954523816
216	0.1940993639
217	0.1928597618
218	0.1918469177
219	0.1907230278
220	0.1900244242
221	0.1888148677
222	0.188031039
223	0.1870451088
224	0.1861802923
225	0.1853182788
226	0.1844146177
227	0.1836642597
228	0.1827603853
229	0.1817904581
230	0.1808235807
231	0.1800889164
232	0.1794313375
233	0.1776828039
234	0.176980206
235	0.1763299233
236	0.1752845429
237	0.1745131549
238	0.1736860463
239	0.1729036862
240	0.1720347932
241	0.1709328841
242	0.1699070267
243	0.1689707864
244	0.1675922038
245	0.1666867906
246	0.1657388257
247	0.1649566836
248	0.1639988756
249	0.1627907369
250	0.1622260129
251	0.1615817785
252	0.1609368774
253	0.1602801878
254	0.1594008706
255	0.158395209
256	0.1574850819
257	0.1568352186
258	0.1559026758
259	0.1550615037
260	0.1543339567
261	0.1537051506
262	0.1525795477
263	0.1519576472
264	0.1512951318
265	0.150426536
266	0.1499091394
267	0.1491112358
268	0.1484477571
269	0.1479012281
270	0.1469643525
271	0.1465130784
272	0.1459391103
273	0.1446532477
274	0.1440119062
275	0.1432772816
276	0.1427361406
277	0.1421363765
278	0.1413907467
279	0.1409324059
280	0.140258455
281	0.1395560041
282	0.1389916006
283	0.1384191637
284	0.1374022657
285	0.1368999031
286	0.1361502742
287	0.1358114625
288	0.135107096
289	0.1342633733
290	0.1335779254
291	0.1328525664
292	0.1322199181
293	0.1315940248
294	0.1310825491
295	0.1305099473
296	0.1299584771
297	0.1293905862
298	0.128640839
299	0.12818898
